代码,	 时间,	 拉升涨幅,	 拉升成交量(手),	 t+1涨幅,	 t+2涨幅,	 t+3涨幅,	 t+4涨幅,	 6日最高涨幅
SH600495,	 2015-09-08	,0.055367	,64872.000000	,0.077681	,0.060175	,0.044858	,0.072210	,0.077681
SH600496,	 2015-09-02	,0.048924	,71157.000000	,0.052830	,0.049057	,0.084906	,0.122642	,0.122642
SH600503,	 2015-01-08	,0.039409	,88720.000000	,0.096979	,0.052464	,0.063593	,0.027027	,0.096979
SH600503,	 2015-07-29	,0.061776	,114331.000000	,0.082909	,0.080000	,0.032727	,0.032000	,0.082909
SH600506,	 2015-06-09	,0.081922	,11469.000000	,0.085903	,0.071953	,0.152349	,0.155653	,0.155653
SH600506,	 2015-08-06	,0.073312	,9045.000000	,0.075494	,0.114440	,0.113241	,0.131216	,0.131216
SH600507,	 2015-09-02	,0.069470	,36617.000000	,0.053265	,0.051546	,0.089347	,0.077320	,0.089347
SH600512,	 2015-08-03	,0.031373	,21990.000000	,0.100760	,0.161597	,0.125475	,0.119772	,0.161597
SH600521,	 2015-07-02	,0.072082	,30686.000000	,0.073205	,0.039090	,-0.201137	,-0.149609	,0.073205
SH600521,	 2015-07-03	,0.171875	,41939.000000	,0.089013	,-0.162756	,-0.108752	,-0.019739	,0.089013
SH600523,	 2015-09-08	,0.064005	,11540.000000	,0.065282	,0.071810	,0.042730	,0.056973	,0.071810
SH600529,	 2015-07-03	,0.088281	,23734.000000	,0.097631	,-0.092606	,-0.213927	,-0.182340	,0.097631
SH600529,	 2015-09-16	,0.039364	,23741.000000	,0.067007	,0.019665	,0.019665	,0.006555	,0.067007
SH600538,	 2015-09-18	,0.037787	,23556.000000	,0.068653	,0.064767	,0.055699	,0.049223	,0.068653
SH600543,	 2015-06-17	,0.058036	,18954.000000	,0.069954	,0.032027	,-0.123051	,-0.101559	,0.069954
SH600545,	 2015-07-22	,0.056198	,60580.000000	,0.087637	,0.071205	,0.024257	,-0.093897	,0.087637
SH600552,	 2015-08-12	,0.035178	,24191.000000	,0.086502	,0.184705	,0.273715	,0.256164	,0.273715
SH600552,	 2015-08-27	,0.055980	,27060.000000	,0.100000	,0.099398	,0.004819	,-0.030120	,0.100000
SH600556,	 2015-09-08	,0.053628	,17695.000000	,0.086826	,0.076846	,0.094810	,0.077844	,0.094810
SH600559,	 2015-09-08	,0.040884	,1968.000000	,0.068240	,0.061297	,0.060504	,0.067050	,0.068240
SH600560,	 2015-07-22	,0.040640	,20911.000000	,0.072706	,0.075685	,0.042312	,-0.070918	,0.075685
SH600563,	 2015-07-02	,0.066327	,25065.000000	,0.067943	,0.140989	,0.030303	,-0.062201	,0.140989
SH600563,	 2015-07-03	,0.056483	,22284.000000	,0.086574	,-0.018834	,-0.106926	,-0.080498	,0.086574
SH600567,	 2015-06-23	,0.084615	,340843.000000	,0.054913	,0.033237	,-0.067919	,-0.098266	,0.054913
SH600568,	 2015-04-23	,0.055866	,18578.000000	,0.092788	,-0.046174	,-0.141601	,-0.182058	,0.092788
SH600571,	 2015-09-08	,0.071591	,26116.000000	,0.091314	,0.046610	,0.054449	,0.031568	,0.091314
SH600573,	 2015-09-08	,0.035032	,6442.000000	,0.065173	,0.098778	,0.059063	,0.112016	,0.112016
SH600577,	 2015-11-30	,0.086154	,132315.000000	,nan	,nan	,nan	,nan	,nan
SH600578,	 2015-08-27	,0.039924	,44820.000000	,0.094718	,0.114754	,0.158470	,0.142077	,0.158470
SH600579,	 2015-02-06	,0.044976	,5480.000000	,0.078755	,0.093407	,0.065934	,0.071429	,0.093407
SH600580,	 2015-09-02	,0.038498	,17130.000000	,0.053783	,0.039198	,0.108478	,0.097539	,0.108478
SH600581,	 2015-07-22	,0.039517	,86224.000000	,0.065310	,0.141328	,0.140257	,0.017131	,0.141328
SH600581,	 2015-09-08	,0.040238	,58186.000000	,0.070201	,0.098854	,0.055874	,0.087393	,0.098854
SH600582,	 2015-07-06	,0.098262	,37942.000000	,0.099794	,0.209911	,0.331039	,0.273916	,0.331039
SH600583,	 2015-09-16	,0.032553	,60192.000000	,0.053785	,0.013944	,0.005976	,0.037849	,0.053785
SH600593,	 2015-05-25	,0.077948	,2702.000000	,0.083198	,0.124661	,0.162602	,0.081030	,0.162602
SH600594,	 2015-07-06	,0.075431	,22317.000000	,0.099980	,0.210059	,0.248233	,-0.420723	,0.248233
SH600594,	 2015-08-27	,0.107091	,56405.000000	,0.100132	,0.165349	,0.067194	,0.015810	,0.165349
SH600599,	 2015-09-01	,0.068923	,4425.000000	,0.069178	,0.033051	,0.040738	,0.132590	,0.132590
SH600601,	 2015-07-29	,0.062241	,95342.000000	,0.070313	,0.024740	,-0.044271	,-0.016927	,0.070313
SH600601,	 2015-10-16	,0.032486	,170699.000000	,0.071429	,0.129121	,0.120879	,0.041209	,0.129121
SH600604,	 2015-08-03	,0.038741	,6270.000000	,0.062160	,0.118104	,0.104895	,0.127428	,0.127428
SH600606,	 2015-08-03	,0.088308	,32212.000000	,0.056419	,0.075993	,0.032815	,0.100748	,0.100748
SH600606,	 2015-08-07	,0.041209	,26454.000000	,0.074446	,0.086061	,0.164203	,0.173178	,0.173178
SH600606,	 2015-08-17	,0.051573	,27187.000000	,0.061526	,-0.073011	,-0.092289	,-0.191140	,0.061526
SH600606,	 2015-09-15	,0.038777	,16403.000000	,0.097052	,0.112868	,0.034508	,0.033789	,0.112868
SH600609,	 2015-04-02	,0.098958	,121263.000000	,0.090047	,0.093207	,0.169036	,0.208531	,0.208531
SH600609,	 2015-04-08	,0.091867	,110223.000000	,0.050824	,0.027473	,0.042582	,0.010989	,0.050824
SH600610,	 2015-05-26	,0.092571	,27467.000000	,0.087343	,0.069561	,-0.037657	,-0.013075	,0.087343
SH600614,	 2015-11-11	,0.044627	,74035.000000	,0.084495	,0.069686	,0.068815	,0.087108	,0.087108
SH600615,	 2015-08-27	,0.035541	,8009.000000	,0.099766	,0.095090	,0.127046	,0.089634	,0.127046
SH600619,	 2015-10-22	,0.034225	,9470.000000	,0.054809	,0.104447	,0.205791	,0.251293	,0.251293
SH600621,	 2015-06-10	,0.052761	,28231.000000	,0.083254	,0.090350	,0.078051	,-0.006149	,0.090350
SH600621,	 2015-08-27	,0.048896	,41352.000000	,0.100000	,0.210370	,0.111111	,0.096296	,0.210370
SH600626,	 2015-04-28	,0.066194	,35575.000000	,0.097314	,0.091149	,-0.000440	,-0.075297	,0.097314
SH600630,	 2015-04-28	,0.072176	,38485.000000	,0.072419	,0.051361	,-0.039548	,-0.077555	,0.072419
SH600630,	 2015-10-15	,0.045760	,82131.000000	,0.099957	,0.209781	,0.209781	,0.244530	,0.244530
SH600634,	 2015-06-03	,0.078150	,32817.000000	,0.098051	,0.151802	,-0.006497	,-0.105729	,0.151802
SH600635,	 2015-04-23	,0.036063	,91434.000000	,0.100289	,0.093795	,0.124820	,0.107504	,0.124820
SH600637,	 2015-09-15	,0.032662	,29979.000000	,0.086538	,0.075000	,0.022756	,0.053846	,0.086538
SH600640,	 2015-08-13	,0.077590	,18597.000000	,0.065658	,0.104021	,0.066396	,0.060125	,0.104021
SH600640,	 2015-08-27	,0.105340	,13529.000000	,0.091348	,0.054897	,-0.033816	,-0.117260	,0.091348
SH600647,	 2015-02-12	,0.045783	,5625.000000	,0.100000	,0.120115	,0.090230	,0.091379	,0.120115
SH600647,	 2015-08-27	,0.043829	,6008.000000	,0.091611	,0.070088	,0.013797	,-0.061810	,0.091611
SH600658,	 2015-08-27	,0.032751	,8728.000000	,0.100423	,0.061311	,0.046512	,0.002114	,0.100423
SH600658,	 2015-09-15	,0.042289	,5560.000000	,0.100239	,0.091885	,0.062053	,0.084726	,0.100239
SH600673,	 2015-06-03	,0.065764	,195303.000000	,0.099820	,0.166367	,0.099820	,0.106115	,0.166367
SH600673,	 2015-08-19	,0.058896	,84363.000000	,0.100346	,0.005767	,-0.110727	,-0.209919	,0.100346
SH600673,	 2015-08-27	,0.061620	,76961.000000	,0.069421	,0.041322	,-0.036364	,-0.099174	,0.069421
SH600678,	 2015-07-16	,0.033088	,18891.000000	,0.099073	,0.140413	,0.097648	,0.184604	,0.184604
SH600678,	 2015-07-22	,0.062216	,28497.000000	,0.053955	,0.057633	,0.011649	,-0.101778	,0.057633
SH600678,	 2015-09-08	,0.053830	,9640.000000	,0.096742	,0.118460	,0.133268	,0.140178	,0.140178
SH600680,	 2015-08-12	,0.064019	,45441.000000	,0.057700	,0.045472	,0.016431	,0.070310	,0.070310
SH600681,	 2015-08-14	,0.034789	,32397.000000	,0.100143	,0.069385	,-0.025036	,-0.045064	,0.100143
SH600683,	 2015-05-18	,0.049765	,34808.000000	,0.055456	,0.073345	,0.035778	,0.099284	,0.099284
SH600683,	 2015-06-03	,0.053151	,23363.000000	,0.098053	,0.080750	,0.070656	,0.011536	,0.098053
SH600683,	 2015-08-27	,0.033233	,13057.000000	,0.099415	,0.089181	,0.061404	,0.002924	,0.099415
SH600684,	 2015-10-16	,0.061093	,56324.000000	,0.076690	,0.056509	,0.057518	,-0.023209	,0.076690
SH600686,	 2015-09-18	,0.042791	,7479.000000	,0.051136	,0.059343	,0.082071	,0.059343	,0.082071
SH600687,	 2015-09-28	,0.041237	,30540.000000	,0.068939	,0.059644	,0.093726	,0.066615	,0.093726
SH600688,	 2015-09-01	,0.056338	,203279.000000	,0.075188	,0.079699	,0.022556	,0.097744	,0.097744
SH600692,	 2015-06-10	,0.085554	,38425.000000	,0.061728	,0.100970	,0.058201	,0.012787	,0.100970
SH600696,	 2015-03-04	,0.055556	,26527.000000	,0.088995	,0.068900	,0.071770	,0.145455	,0.145455
SH600698,	 2015-08-14	,0.045547	,56653.000000	,0.100000	,0.136634	,0.048515	,0.013861	,0.136634
SH600705,	 2015-07-29	,0.095906	,185266.000000	,0.100000	,0.061290	,-0.027957	,-0.014516	,0.100000
SH600705,	 2015-08-06	,0.069061	,235484.000000	,0.095761	,0.166928	,0.093668	,-0.004710	,0.166928
SH600705,	 2015-08-27	,0.068991	,128381.000000	,0.100068	,0.108181	,0.055443	,0.010818	,0.108181
SH600706,	 2015-03-03	,0.067656	,15790.000000	,0.089255	,0.135873	,0.068789	,0.030699	,0.135873
SH600707,	 2015-06-02	,0.074452	,28090.000000	,0.100095	,0.114801	,0.129032	,0.120019	,0.129032
SH600708,	 2015-11-11	,0.037975	,51478.000000	,0.067961	,-0.003641	,-0.080704	,-0.066141	,0.067961
SH600710,	 2015-04-16	,0.037396	,44278.000000	,0.052069	,-0.006676	,-0.025367	,0.066756	,0.066756
SH600711,	 2015-08-27	,0.049927	,64798.000000	,0.100279	,0.086351	,0.044568	,-0.018106	,0.100279
SH600713,	 2015-07-22	,0.031300	,57018.000000	,0.051442	,0.069369	,0.029618	,-0.072486	,0.069369
SH600714,	 2015-06-04	,0.095522	,14375.000000	,0.054951	,0.046790	,0.041893	,0.033188	,0.054951
SH600714,	 2015-06-29	,0.096358	,13347.000000	,0.100070	,0.137159	,0.039188	,-0.037789	,0.137159
SH600714,	 2015-08-03	,0.051471	,3888.000000	,0.076152	,0.087174	,0.091182	,0.107214	,0.107214
SH600714,	 2015-10-23	,0.049430	,16583.000000	,0.057971	,-0.003623	,-0.060688	,-0.063406	,0.057971
SH600716,	 2015-08-19	,0.098810	,87118.000000	,0.072043	,-0.003226	,-0.131183	,-0.229032	,0.072043
SH600724,	 2015-08-11	,0.048518	,38567.000000	,0.100128	,0.157895	,0.177150	,0.236200	,0.236200
SH600724,	 2015-09-07	,0.068641	,40502.000000	,0.070529	,0.149874	,0.175063	,0.197733	,0.197733
SH600725,	 2015-08-14	,0.071923	,81443.000000	,0.099612	,0.168176	,0.050453	,0.050453	,0.168176
SH600726,	 2015-06-12	,0.041226	,126430.000000	,0.057318	,0.003071	,0.041965	,0.141249	,0.141249
SH600726,	 2015-07-28	,0.082727	,256845.000000	,0.099916	,0.157011	,0.047019	,-0.061293	,0.157011
SH600727,	 2015-11-30	,0.067492	,25307.000000	,nan	,nan	,nan	,nan	,nan
SH600730,	 2015-09-08	,0.059000	,15390.000000	,0.094901	,0.078376	,0.085930	,0.073182	,0.094901
SH600730,	 2015-09-18	,0.032713	,24195.000000	,0.099559	,0.103482	,0.113291	,0.086317	,0.113291
SH600734,	 2015-03-27	,0.034660	,53329.000000	,0.100496	,0.104218	,0.141439	,0.122829	,0.141439
SH600737,	 2015-08-12	,0.053812	,167486.000000	,0.064530	,0.127744	,0.240562	,0.200176	,0.240562
SH600737,	 2015-09-08	,0.066766	,92911.000000	,0.097332	,0.147080	,0.096611	,0.144917	,0.147080
SH600737,	 2015-09-09	,0.046886	,186949.000000	,0.059960	,0.013324	,0.057961	,-0.138574	,0.059960
SH600738,	 2015-06-03	,0.079665	,27318.000000	,0.056954	,0.078146	,0.069536	,0.016556	,0.078146
SH600740,	 2015-05-26	,0.082192	,151350.000000	,0.059396	,0.124635	,0.044791	,0.103213	,0.124635
SH600740,	 2015-08-03	,0.048780	,19782.000000	,0.061360	,0.071310	,0.069652	,0.076285	,0.076285
SH600742,	 2015-08-14	,0.069260	,22334.000000	,0.074324	,0.023488	,-0.037967	,-0.060489	,0.074324
SH600743,	 2015-08-27	,0.059034	,54049.000000	,0.100170	,0.137521	,0.027165	,-0.020374	,0.137521
SH600749,	 2015-09-08	,0.032086	,17441.000000	,0.097577	,0.148657	,0.146693	,0.213491	,0.213491
