代码,	 时间,	 拉升涨幅,	 拉升成交量(手),	 t+1涨幅,	 t+2涨幅,	 t+3涨幅,	 t+4涨幅,	 6日最高涨幅
SH600875,	 2015-05-11	,0.032333	,96276.000000	,0.083084	,0.073353	,0.055763	,0.010479	,0.083084
SH600876,	 2015-09-08	,0.097148	,30295.000000	,0.080085	,0.129237	,0.079661	,0.120763	,0.129237
SH600877,	 2015-08-27	,0.074324	,44779.000000	,0.100376	,0.151819	,0.094103	,0.016311	,0.151819
SH600877,	 2015-09-08	,0.057343	,38878.000000	,0.065684	,0.079088	,0.038874	,0.058981	,0.079088
SH600877,	 2015-11-26	,0.066462	,103745.000000	,0.059524	,0.090278	,nan	,nan	,0.090278
SH600883,	 2015-08-27	,0.080193	,11604.000000	,0.100179	,0.109123	,0.050984	,-0.020572	,0.109123
SH600884,	 2015-09-08	,0.038803	,11183.000000	,0.073589	,0.060948	,0.041986	,0.044244	,0.073589
SH600888,	 2015-07-22	,0.030369	,36109.000000	,0.074074	,0.083598	,0.031746	,-0.074074	,0.083598
SH600890,	 2015-06-24	,0.055140	,27352.000000	,0.067054	,-0.004513	,-0.046422	,-0.097357	,0.067054
SH600892,	 2015-06-23	,0.055409	,2472.000000	,0.061373	,0.112781	,0.048719	,-0.003638	,0.112781
SH600892,	 2015-09-08	,0.037736	,1075.000000	,0.052152	,0.043046	,0.036700	,0.045254	,0.052152
SH600893,	 2015-07-29	,0.078827	,61101.000000	,0.094244	,0.025641	,-0.113602	,-0.098149	,0.094244
SH600917,	 2015-08-03	,0.064736	,20319.000000	,0.068745	,0.119904	,0.072742	,0.079936	,0.119904
SH600917,	 2015-09-02	,0.047619	,15333.000000	,0.053162	,0.058662	,0.085243	,0.075160	,0.085243
SH600917,	 2015-10-22	,0.043478	,18596.000000	,0.095947	,0.139785	,0.071960	,0.121588	,0.139785
SH600961,	 2015-08-12	,0.042471	,38453.000000	,0.100380	,0.210646	,0.331559	,0.231179	,0.331559
SH600961,	 2015-09-10	,0.106599	,45558.000000	,0.052294	,0.044037	,-0.129358	,-0.113761	,0.052294
SH600961,	 2015-10-21	,0.060526	,24847.000000	,0.074415	,0.109532	,0.115385	,0.069398	,0.115385
SH600966,	 2015-07-03	,0.061702	,72893.000000	,0.096192	,0.030060	,0.020040	,0.122244	,0.122244
SH600966,	 2015-07-16	,0.042514	,126755.000000	,0.076241	,0.117021	,0.115248	,0.141844	,0.141844
SH600966,	 2015-08-27	,0.040936	,106252.000000	,0.066852	,0.058496	,-0.005571	,-0.033426	,0.066852
SH600971,	 2015-08-26	,0.052434	,38053.000000	,0.054348	,0.103261	,0.072464	,0.068841	,0.103261
SH600971,	 2015-09-14	,0.042146	,9277.000000	,0.060662	,0.084559	,0.097426	,0.049632	,0.097426
SH600973,	 2015-09-08	,0.050403	,10224.000000	,0.080460	,0.080460	,0.068008	,0.050766	,0.080460
SH600975,	 2015-07-15	,0.099321	,39326.000000	,0.054826	,0.092664	,0.202317	,0.322780	,0.322780
SH600976,	 2015-08-27	,0.042151	,5757.000000	,0.079241	,0.031366	,0.010730	,-0.028477	,0.079241
SH600976,	 2015-09-08	,0.045056	,3525.000000	,0.054288	,0.033832	,0.023210	,0.011015	,0.054288
SH600980,	 2015-07-03	,0.173387	,15583.000000	,0.078547	,-0.171330	,-0.270987	,-0.197840	,0.078547
SH600981,	 2015-08-13	,0.045597	,27681.000000	,0.059176	,0.052434	,0.055431	,-0.035955	,0.059176
SH600982,	 2015-10-20	,0.035374	,84853.000000	,nan	,nan	,nan	,nan	,nan
SH600983,	 2015-06-04	,0.063456	,25472.000000	,0.062201	,0.070707	,0.044657	,0.094099	,0.094099
SH600987,	 2015-08-03	,0.040851	,10915.000000	,0.092792	,0.095278	,0.066280	,0.094449	,0.095278
SH600995,	 2015-08-13	,0.052101	,37947.000000	,0.071429	,0.079365	,0.067460	,-0.015873	,0.079365
SH601002,	 2015-06-02	,0.030043	,43709.000000	,0.052239	,0.047575	,0.126866	,0.140392	,0.140392
SH601008,	 2015-07-30	,0.035857	,100398.000000	,0.083333	,-0.002564	,0.025641	,0.055128	,0.083333
SH601008,	 2015-08-20	,0.071599	,114726.000000	,0.088964	,-0.027027	,-0.138514	,-0.145270	,0.088964
SH601010,	 2015-08-03	,0.110390	,65671.000000	,0.095683	,0.068845	,0.058343	,0.065344	,0.095683
SH601010,	 2015-09-02	,0.051136	,55656.000000	,0.070461	,0.054201	,0.084011	,0.050136	,0.084011
SH601011,	 2015-10-14	,0.042230	,32127.000000	,0.099349	,0.203583	,0.239414	,0.195440	,0.239414
SH601015,	 2015-05-28	,0.076023	,36859.000000	,0.057685	,0.037970	,-0.001825	,-0.028843	,0.0576
